'Elapsed time','ECG1'
'hh:mm:ss.mmm','mV'
'0:00.000',0.720
'0:00.004',1.030
'0:00.008',0.700
'0:00.012',0.375
'0:00.016',0.045
'0:00.020',-0.280
'0:00.024',-0.610
'0:00.028',-0.935
'0:00.032',-1.265
'0:00.036',-1.590
'0:00.040',-1.790
'0:00.044',-1.535
'0:00.048',-1.260
'0:00.052',-0.935
'0:00.056',-0.665
'0:00.060',-0.495
'0:00.064',-0.370
'0:00.068',-0.310
'0:00.072',-0.270
'0:00.076',-0.260
'0:00.080',-0.240
'0:00.084',-0.205
'0:00.088',-0.180
'0:00.092',-0.160
'0:00.096',-0.140
'0:00.100',-0.120
'0:00.104',-0.110
'0:00.108',-0.115
'0:00.112',-0.100
'0:00.116',-0.065
'0:00.120',-0.060
'0:00.124',-0.080
'0:00.128',-0.065
'0:00.132',-0.030
'0:00.136',-0.025
'0:00.140',-0.035
'0:00.144',-0.025
'0:00.148',-0.005
'0:00.152',0.000
'0:00.156',-0.005
'0:00.160',0.015
'0:00.164',0.045
'0:00.168',0.040
'0:00.172',0.030
'0:00.176',0.065
'0:00.180',0.100
'0:00.184',0.120
'0:00.188',0.140
'0:00.192',0.145
'0:00.196',0.150
'0:00.200',0.170
'0:00.204',0.195
'0:00.208',0.230
'0:00.212',0.260
'0:00.216',0.270
'0:00.220',0.290
'0:00.224',0.325
'0:00.228',0.360
'0:00.232',0.390
'0:00.236',0.415
'0:00.240',0.430
'0:00.244',0.460
'0:00.248',0.505
'0:00.252',0.550
'0:00.256',0.590
'0:00.260',0.630
'0:00.264',0.670
'0:00.268',0.695
'0:00.272',0.710
'0:00.276',0.735
'0:00.280',0.760
'0:00.284',0.780
'0:00.288',0.800
'0:00.292',0.825
'0:00.296',0.845
'0:00.300',0.830
'0:00.304',0.805
'0:00.308',0.800
'0:00.312',0.800
'0:00.316',0.755
'0:00.320',0.695
'0:00.324',0.650
'0:00.328',0.605
'0:00.332',0.555
'0:00.336',0.500
'0:00.340',0.435
'0:00.344',0.370
'0:00.348',0.325
'0:00.352',0.280
'0:00.356',0.245
'0:00.360',0.205
'0:00.364',0.170
'0:00.368',0.135
'0:00.372',0.100
'0:00.376',0.070
'0:00.380',0.060
'0:00.384',0.050
'0:00.388',0.035
'0:00.392',0.020
'0:00.396',0.015
'0:00.400',0.010
'0:00.404',0.000
'0:00.408',-0.015
'0:00.412',-0.035
'0:00.416',-0.050
'0:00.420',-0.045
'0:00.424',-0.035
'0:00.428',-0.025
'0:00.432',-0.030
'0:00.436',-0.060
'0:00.440',-0.075
'0:00.444',-0.090
'0:00.448',-0.085
'0:00.452',-0.060
'0:00.456',-0.065
'0:00.460',-0.090
'0:00.464',-0.085
'0:00.468',-0.055
'0:00.472',-0.050
'0:00.476',-0.055
'0:00.480',-0.060
'0:00.484',-0.060
'0:00.488',-0.060
'0:00.492',-0.055
'0:00.496',-0.060
'0:00.500',-0.050
'0:00.504',-0.070
'0:00.508',-0.060
'0:00.512',-0.060
'0:00.516',-0.060
'0:00.520',-0.070
'0:00.524',-0.080
'0:00.528',-0.075
'0:00.532',-0.070
'0:00.536',-0.055
'0:00.540',-0.040
'0:00.544',-0.035
'0:00.548',-0.035
'0:00.552',-0.055
'0:00.556',-0.065
'0:00.560',-0.050
'0:00.564',-0.040
'0:00.568',-0.050
'0:00.572',-0.060
'0:00.576',-0.055
'0:00.580',-0.050
'0:00.584',-0.045
'0:00.588',-0.045
'0:00.592',-0.055
'0:00.596',-0.055
'0:00.600',-0.045
'0:00.604',-0.040
'0:00.608',-0.040
'0:00.612',-0.040
'0:00.616',-0.035
'0:00.620',-0.040
'0:00.624',-0.055
'0:00.628',-0.060
'0:00.632',-0.055
'0:00.636',-0.050
'0:00.640',-0.045
'0:00.644',-0.040
'0:00.648',-0.035
'0:00.652',-0.035
'0:00.656',-0.045
'0:00.660',-0.050
'0:00.664',-0.045
'0:00.668',-0.045
'0:00.672',-0.050
'0:00.676',-0.040
'0:00.680',-0.030
'0:00.684',-0.040
'0:00.688',-0.050
'0:00.692',-0.055
'0:00.696',-0.060
'0:00.700',-0.030
'0:00.704',-0.010
'0:00.708',0.010
'0:00.712',0.035
'0:00.716',0.060
'0:00.720',0.075
'0:00.724',0.050
'0:00.728',0.040
'0:00.732',0.075
'0:00.736',0.100
'0:00.740',0.090
'0:00.744',0.095
'0:00.748',0.135
'0:00.752',0.180
'0:00.756',0.220
'0:00.760',0.250
'0:00.764',0.270
'0:00.768',0.265
'0:00.772',0.235
'0:00.776',0.200
'0:00.780',0.165
'0:00.784',0.130
'0:00.788',0.090
'0:00.792',0.065
'0:00.796',0.040
'0:00.800',0.035
'0:00.804',0.045
'0:00.808',0.025
'0:00.812',-0.015
'0:00.816',-0.070
'0:00.820',-0.135
'0:00.824',-0.125
'0:00.828',-0.105
'0:00.832',-0.100
'0:00.836',-0.110
'0:00.840',-0.110
'0:00.844',-0.110
'0:00.848',-0.095
'0:00.852',-0.080
'0:00.856',-0.090
'0:00.860',-0.100
'0:00.864',-0.090
'0:00.868',-0.075
'0:00.872',-0.025
'0:00.876',0.025
'0:00.880',0.085
'0:00.884',0.040
'0:00.888',-0.265
'0:00.892',-0.360
'0:00.896',-0.035
'0:00.900',0.290
'0:00.904',0.615
'0:00.908',0.940
'0:00.912',1.265
'0:00.916',1.280
'0:00.920',0.950
'0:00.924',0.625
'0:00.928',0.295
'0:00.932',-0.030
'0:00.936',-0.360
'0:00.940',-0.685
'0:00.944',-1.015
'0:00.948',-1.345
'0:00.952',-1.670
'0:00.956',-1.650
'0:00.960',-1.480
'0:00.964',-1.195
'0:00.968',-0.870
'0:00.972',-0.600
'0:00.976',-0.350
'0:00.980',-0.240
'0:00.984',-0.150
'0:00.988',-0.125
'0:00.992',-0.105
'0:00.996',-0.085
'0:01.000',-0.100
'0:01.004',-0.045
'0:01.008',-0.030
'0:01.012',-0.015
'0:01.016',0.000
'0:01.020',0.010
'0:01.024',0.020
'0:01.028',0.020
'0:01.032',0.020
'0:01.036',0.015
'0:01.040',0.010
'0:01.044',0.025
'0:01.048',0.040
'0:01.052',0.045
'0:01.056',0.060
'0:01.060',0.090
'0:01.064',0.110
'0:01.068',0.115
'0:01.072',0.120
'0:01.076',0.125
'0:01.080',0.130
'0:01.084',0.130
'0:01.088',0.140
'0:01.092',0.160
'0:01.096',0.180
'0:01.100',0.210
'0:01.104',0.220
'0:01.108',0.225
'0:01.112',0.250
'0:01.116',0.280
'0:01.120',0.300
'0:01.124',0.320
'0:01.128',0.360
'0:01.132',0.410
'0:01.136',0.430
'0:01.140',0.445
'0:01.144',0.475
'0:01.148',0.505
'0:01.152',0.535
'0:01.156',0.565
'0:01.160',0.600
'0:01.164',0.635
'0:01.168',0.670
'0:01.172',0.700
'0:01.176',0.735
'0:01.180',0.770
'0:01.184',0.790
'0:01.188',0.810
'0:01.192',0.840
'0:01.196',0.870
'0:01.200',0.885
'0:01.204',0.900
'0:01.208',0.900
'0:01.212',0.900
'0:01.216',0.895
'0:01.220',0.880
'0:01.224',0.840
'0:01.228',0.810
'0:01.232',0.815
'0:01.236',0.795
'0:01.240',0.730
'0:01.244',0.665
'0:01.248',0.610
'0:01.252',0.550
'0:01.256',0.485
'0:01.260',0.445
'0:01.264',0.430
'0:01.268',0.380
