'Elapsed time','CM5'
'hh:mm:ss.mmm','mV'
'0:00.000',-6.100
'0:00.004',-6.100
'0:00.008',-6.105
'0:00.012',-6.100
'0:00.016',-6.090
'0:00.020',-6.095
'0:00.024',-6.115
'0:00.028',-6.120
'0:00.032',-6.145
'0:00.036',-6.170
'0:00.040',-6.200
'0:00.044',-6.180
'0:00.048',-6.195
'0:00.052',-6.220
'0:00.056',-6.225
'0:00.060',-6.230
'0:00.064',-6.230
'0:00.068',-6.225
'0:00.072',-6.240
'0:00.076',-6.235
'0:00.080',-6.250
'0:00.084',-6.225
'0:00.088',-6.230
'0:00.092',-6.265
'0:00.096',-6.315
'0:00.100',-6.350
'0:00.104',-6.370
'0:00.108',-6.350
'0:00.112',-6.270
'0:00.116',-6.110
'0:00.120',-5.905
'0:00.124',-5.650
'0:00.128',-5.480
'0:00.132',-5.375
'0:00.136',-5.355
'0:00.140',-5.280
'0:00.144',-5.175
'0:00.148',-5.075
'0:00.152',-4.980
'0:00.156',-4.925
'0:00.160',-5.060
'0:00.164',-5.385
'0:00.168',-5.700
'0:00.172',-5.905
'0:00.176',-6.050
'0:00.180',-6.120
'0:00.184',-6.195
'0:00.188',-6.235
'0:00.192',-6.270
'0:00.196',-6.315
'0:00.200',-6.340
'0:00.204',-6.365
'0:00.208',-6.380
'0:00.212',-6.380
'0:00.216',-6.390
'0:00.220',-6.390
'0:00.224',-6.395
'0:00.228',-6.385
'0:00.232',-6.390
'0:00.236',-6.400
'0:00.240',-6.395
'0:00.244',-6.390
'0:00.248',-6.400
'0:00.252',-6.400
'0:00.256',-6.395
'0:00.260',-6.390
'0:00.264',-6.400
'0:00.268',-6.385
'0:00.272',-6.390
'0:00.276',-6.385
'0:00.280',-6.385
'0:00.284',-6.390
'0:00.288',-6.390
'0:00.292',-6.395
'0:00.296',-6.395
'0:00.300',-6.400
'0:00.304',-6.405
'0:00.308',-6.410
'0:00.312',-6.405
'0:00.316',-6.425
'0:00.320',-6.415
'0:00.324',-6.410
'0:00.328',-6.405
'0:00.332',-6.420
'0:00.336',-6.420
'0:00.340',-6.420
'0:00.344',-6.420
'0:00.348',-6.420
'0:00.352',-6.425
'0:00.356',-6.425
'0:00.360',-6.420
'0:00.364',-6.410
'0:00.368',-6.395
'0:00.372',-6.400
'0:00.376',-6.385
'0:00.380',-6.375
'0:00.384',-6.340
'0:00.388',-6.320
'0:00.392',-6.300
'0:00.396',-6.280
'0:00.400',-6.255
'0:00.404',-6.225
'0:00.408',-6.195
'0:00.412',-6.185
'0:00.416',-6.160
'0:00.420',-6.170
'0:00.424',-6.145
'0:00.428',-6.160
'0:00.432',-6.160
'0:00.436',-6.160
'0:00.440',-6.160
'0:00.444',-6.170
'0:00.448',-6.185
'0:00.452',-6.195
'0:00.456',-6.205
'0:00.460',-6.235
'0:00.464',-6.205
'0:00.468',-6.240
'0:00.472',-6.255
'0:00.476',-6.265
'0:00.480',-6.265
'0:00.484',-6.270
'0:00.488',-6.265
'0:00.492',-6.260
'0:00.496',-6.265
'0:00.500',-6.265
'0:00.504',-6.280
'0:00.508',-6.280
'0:00.512',-6.275
'0:00.516',-6.290
'0:00.520',-6.280
'0:00.524',-6.295
'0:00.528',-6.290
'0:00.532',-6.290
'0:00.536',-6.300
'0:00.540',-6.295
'0:00.544',-6.295
