'Elapsed time','D3'
'hh:mm:ss.mmm','mV'
'0:00.000',-2.670
'0:00.004',-2.670
'0:00.008',-2.660
'0:00.012',-2.665
'0:00.016',-2.670
'0:00.020',-2.660
'0:00.024',-2.660
'0:00.028',-2.650
'0:00.032',-2.650
'0:00.036',-2.650
'0:00.040',-2.650
'0:00.044',-2.645
'0:00.048',-2.645
'0:00.052',-2.660
'0:00.056',-2.660
'0:00.060',-2.660
'0:00.064',-2.660
'0:00.068',-2.660
'0:00.072',-2.655
'0:00.076',-2.650
'0:00.080',-2.650
'0:00.084',-2.645
'0:00.088',-2.645
'0:00.092',-2.660
'0:00.096',-2.660
'0:00.100',-2.660
'0:00.104',-2.650
'0:00.108',-2.650
'0:00.112',-2.665
'0:00.116',-2.670
'0:00.120',-2.650
'0:00.124',-2.640
'0:00.128',-2.635
'0:00.132',-2.620
'0:00.136',-2.635
'0:00.140',-2.635
'0:00.144',-2.645
'0:00.148',-2.635
'0:00.152',-2.635
'0:00.156',-2.635
'0:00.160',-2.635
'0:00.164',-2.645
'0:00.168',-2.640
'0:00.172',-2.640
'0:00.176',-2.645
'0:00.180',-2.650
'0:00.184',-2.650
'0:00.188',-2.645
'0:00.192',-2.665
'0:00.196',-2.655
'0:00.200',-2.660
'0:00.204',-2.660
'0:00.208',-2.645
'0:00.212',-2.630
'0:00.216',-2.605
'0:00.220',-2.590
'0:00.224',-2.565
'0:00.228',-2.590
'0:00.232',-2.590
'0:00.236',-2.575
'0:00.240',-2.565
'0:00.244',-2.560
'0:00.248',-2.560
'0:00.252',-2.535
'0:00.256',-2.540
'0:00.260',-2.545
'0:00.264',-2.545
'0:00.268',-2.570
'0:00.272',-2.590
'0:00.276',-2.610
'0:00.280',-2.595
'0:00.284',-2.605
'0:00.288',-2.620
'0:00.292',-2.630
'0:00.296',-2.660
'0:00.300',-2.660
'0:00.304',-2.675
'0:00.308',-2.690
'0:00.312',-2.700
'0:00.316',-2.715
'0:00.320',-2.710
'0:00.324',-2.710
'0:00.328',-2.715
'0:00.332',-2.730
'0:00.336',-2.730
'0:00.340',-2.735
'0:00.344',-2.730
'0:00.348',-2.725
'0:00.352',-2.720
'0:00.356',-2.715
'0:00.360',-2.720
'0:00.364',-2.720
'0:00.368',-2.730
'0:00.372',-2.735
'0:00.376',-2.730
'0:00.380',-2.735
'0:00.384',-2.740
'0:00.388',-2.745
'0:00.392',-2.735
'0:00.396',-2.735
'0:00.400',-2.735
'0:00.404',-2.735
'0:00.408',-2.745
'0:00.412',-2.720
'0:00.416',-2.685
'0:00.420',-2.685
'0:00.424',-2.680
'0:00.428',-2.645
'0:00.432',-2.645
'0:00.436',-2.715
'0:00.440',-2.815
'0:00.444',-2.860
'0:00.448',-2.875
'0:00.452',-3.015
'0:00.456',-3.210
'0:00.460',-3.235
'0:00.464',-3.060
'0:00.468',-2.940
'0:00.472',-2.935
'0:00.476',-3.005
'0:00.480',-3.115
'0:00.484',-3.160
'0:00.488',-3.200
'0:00.492',-3.230
'0:00.496',-3.170
'0:00.500',-3.070
'0:00.504',-2.960
'0:00.508',-2.875
'0:00.512',-2.810
'0:00.516',-2.745
'0:00.520',-2.720
'0:00.524',-2.710
'0:00.528',-2.705
'0:00.532',-2.710
'0:00.536',-2.700
'0:00.540',-2.710
'0:00.544',-2.715
'0:00.548',-2.710
'0:00.552',-2.700
'0:00.556',-2.680
'0:00.560',-2.685
'0:00.564',-2.685
'0:00.568',-2.690
'0:00.572',-2.675
'0:00.576',-2.680
'0:00.580',-2.675
'0:00.584',-2.670
'0:00.588',-2.680
'0:00.592',-2.680
'0:00.596',-2.685
'0:00.600',-2.670
'0:00.604',-2.660
'0:00.608',-2.655
'0:00.612',-2.665
'0:00.616',-2.665
'0:00.620',-2.655
'0:00.624',-2.640
'0:00.628',-2.630
'0:00.632',-2.635
'0:00.636',-2.635
'0:00.640',-2.655
'0:00.644',-2.650
'0:00.648',-2.640
'0:00.652',-2.645
'0:00.656',-2.635
'0:00.660',-2.645
'0:00.664',-2.630
'0:00.668',-2.620
'0:00.672',-2.620
'0:00.676',-2.620
'0:00.680',-2.615
'0:00.684',-2.605
'0:00.688',-2.600
'0:00.692',-2.585
'0:00.696',-2.585
'0:00.700',-2.570
'0:00.704',-2.570
'0:00.708',-2.545
'0:00.712',-2.545
'0:00.716',-2.535
'0:00.720',-2.520
'0:00.724',-2.515
'0:00.728',-2.505
'0:00.732',-2.490
'0:00.736',-2.485
'0:00.740',-2.495
'0:00.744',-2.470
'0:00.748',-2.465
'0:00.752',-2.445
'0:00.756',-2.435
'0:00.760',-2.435
'0:00.764',-2.445
'0:00.768',-2.445
'0:00.772',-2.455
'0:00.776',-2.475
'0:00.780',-2.490
'0:00.784',-2.520
'0:00.788',-2.540
'0:00.792',-2.555
'0:00.796',-2.550
'0:00.800',-2.565
'0:00.804',-2.575
'0:00.808',-2.595
'0:00.812',-2.620
'0:00.816',-2.620
'0:00.820',-2.630
'0:00.824',-2.630
'0:00.828',-2.640
'0:00.832',-2.630
'0:00.836',-2.640
'0:00.840',-2.645
'0:00.844',-2.645
'0:00.848',-2.660
'0:00.852',-2.660
'0:00.856',-2.665
'0:00.860',-2.660
'0:00.864',-2.660
'0:00.868',-2.655
'0:00.872',-2.640
'0:00.876',-2.655
'0:00.880',-2.655
'0:00.884',-2.660
'0:00.888',-2.650
'0:00.892',-2.665
'0:00.896',-2.675
'0:00.900',-2.660
'0:00.904',-2.665
'0:00.908',-2.660
'0:00.912',-2.665
'0:00.916',-2.660
'0:00.920',-2.665
'0:00.924',-2.675
'0:00.928',-2.670
'0:00.932',-2.670
'0:00.936',-2.670
'0:00.940',-2.680
'0:00.944',-2.675
'0:00.948',-2.665
'0:00.952',-2.675
'0:00.956',-2.675
'0:00.960',-2.680
'0:00.964',-2.675
'0:00.968',-2.680
'0:00.972',-2.670
'0:00.976',-2.670
'0:00.980',-2.670
'0:00.984',-2.680
'0:00.988',-2.680
'0:00.992',-2.685
'0:00.996',-2.680
'0:01.000',-2.660
'0:01.004',-2.660
'0:01.008',-2.665
'0:01.012',-2.685
'0:01.016',-2.685
'0:01.020',-2.675
'0:01.024',-2.680
'0:01.028',-2.675
'0:01.032',-2.680
'0:01.036',-2.685
'0:01.040',-2.680
'0:01.044',-2.675
'0:01.048',-2.675
'0:01.052',-2.690
'0:01.056',-2.680
'0:01.060',-2.675
'0:01.064',-2.680
'0:01.068',-2.685
'0:01.072',-2.685
'0:01.076',-2.695
'0:01.080',-2.690
'0:01.084',-2.680
'0:01.088',-2.680
'0:01.092',-2.670
'0:01.096',-2.660
'0:01.100',-2.670
'0:01.104',-2.660
'0:01.108',-2.665
'0:01.112',-2.670
'0:01.116',-2.685
'0:01.120',-2.665
'0:01.124',-2.660
'0:01.128',-2.670
'0:01.132',-2.660
'0:01.136',-2.660
'0:01.140',-2.650
'0:01.144',-2.660
'0:01.148',-2.660
'0:01.152',-2.660
'0:01.156',-2.660
'0:01.160',-2.660
'0:01.164',-2.655
'0:01.168',-2.645
'0:01.172',-2.650
'0:01.176',-2.650
'0:01.180',-2.650
'0:01.184',-2.650
'0:01.188',-2.655
'0:01.192',-2.660
'0:01.196',-2.650
'0:01.200',-2.655
'0:01.204',-2.645
'0:01.208',-2.650
'0:01.212',-2.650
'0:01.216',-2.645
'0:01.220',-2.645
'0:01.224',-2.645
'0:01.228',-2.645
'0:01.232',-2.645
'0:01.236',-2.650
'0:01.240',-2.660
'0:01.244',-2.650
'0:01.248',-2.650
'0:01.252',-2.645
'0:01.256',-2.635
'0:01.260',-2.620
'0:01.264',-2.605
'0:01.268',-2.585
