'Elapsed time','CM5'
'hh:mm:ss.mmm','mV'
'0:00.000',-1.060
'0:00.004',-0.880
'0:00.008',-0.810
'0:00.012',-0.895
'0:00.016',-1.135
'0:00.020',-1.430
'0:00.024',-1.715
'0:00.028',-1.935
'0:00.032',-2.065
'0:00.036',-2.105
'0:00.040',-2.075
'0:00.044',-2.030
'0:00.048',-1.970
'0:00.052',-1.905
'0:00.056',-1.875
'0:00.060',-1.855
'0:00.064',-1.840
'0:00.068',-1.830
'0:00.072',-1.810
'0:00.076',-1.805
'0:00.080',-1.810
'0:00.084',-1.790
'0:00.088',-1.785
'0:00.092',-1.785
'0:00.096',-1.785
'0:00.100',-1.785
'0:00.104',-1.765
'0:00.108',-1.755
'0:00.112',-1.745
'0:00.116',-1.745
'0:00.120',-1.740
'0:00.124',-1.740
'0:00.128',-1.740
'0:00.132',-1.725
'0:00.136',-1.725
'0:00.140',-1.725
'0:00.144',-1.715
'0:00.148',-1.710
'0:00.152',-1.705
'0:00.156',-1.700
'0:00.160',-1.700
'0:00.164',-1.690
'0:00.168',-1.680
'0:00.172',-1.670
'0:00.176',-1.660
'0:00.180',-1.655
'0:00.184',-1.640
'0:00.188',-1.620
'0:00.192',-1.600
'0:00.196',-1.565
'0:00.200',-1.555
'0:00.204',-1.530
'0:00.208',-1.515
'0:00.212',-1.495
'0:00.216',-1.485
'0:00.220',-1.460
'0:00.224',-1.440
'0:00.228',-1.425
'0:00.232',-1.390
'0:00.236',-1.385
'0:00.240',-1.380
'0:00.244',-1.370
'0:00.248',-1.360
'0:00.252',-1.360
'0:00.256',-1.355
'0:00.260',-1.340
'0:00.264',-1.340
'0:00.268',-1.340
'0:00.272',-1.380
'0:00.276',-1.410
'0:00.280',-1.435
'0:00.284',-1.460
'0:00.288',-1.485
'0:00.292',-1.520
'0:00.296',-1.555
'0:00.300',-1.600
'0:00.304',-1.635
'0:00.308',-1.655
'0:00.312',-1.680
'0:00.316',-1.700
'0:00.320',-1.725
'0:00.324',-1.755
'0:00.328',-1.765
'0:00.332',-1.775
'0:00.336',-1.780
'0:00.340',-1.785
'0:00.344',-1.790
'0:00.348',-1.790
'0:00.352',-1.790
'0:00.356',-1.800
'0:00.360',-1.805
'0:00.364',-1.810
'0:00.368',-1.800
'0:00.372',-1.795
'0:00.376',-1.790
'0:00.380',-1.790
'0:00.384',-1.800
'0:00.388',-1.800
'0:00.392',-1.810
'0:00.396',-1.805
'0:00.400',-1.805
'0:00.404',-1.810
'0:00.408',-1.810
'0:00.412',-1.800
'0:00.416',-1.810
'0:00.420',-1.790
'0:00.424',-1.795
'0:00.428',-1.785
'0:00.432',-1.795
'0:00.436',-1.805
'0:00.440',-1.785
'0:00.444',-1.785
'0:00.448',-1.785
'0:00.452',-1.785
'0:00.456',-1.790
'0:00.460',-1.795
'0:00.464',-1.800
'0:00.468',-1.805
'0:00.472',-1.805
'0:00.476',-1.800
'0:00.480',-1.795
'0:00.484',-1.790
'0:00.488',-1.790
'0:00.492',-1.805
'0:00.496',-1.805
'0:00.500',-1.810
'0:00.504',-1.810
'0:00.508',-1.800
'0:00.512',-1.795
'0:00.516',-1.790
'0:00.520',-1.795
'0:00.524',-1.805
'0:00.528',-1.810
'0:00.532',-1.815
'0:00.536',-1.810
'0:00.540',-1.820
'0:00.544',-1.820
'0:00.548',-1.820
'0:00.552',-1.810
'0:00.556',-1.810
'0:00.560',-1.800
'0:00.564',-1.790
'0:00.568',-1.790
'0:00.572',-1.810
'0:00.576',-1.815
'0:00.580',-1.820
'0:00.584',-1.810
'0:00.588',-1.800
'0:00.592',-1.790
'0:00.596',-1.785
'0:00.600',-1.785
'0:00.604',-1.790
'0:00.608',-1.765
'0:00.612',-1.760
'0:00.616',-1.755
'0:00.620',-1.745
'0:00.624',-1.720
'0:00.628',-1.720
'0:00.632',-1.720
'0:00.636',-1.740
'0:00.640',-1.750
'0:00.644',-1.775
'0:00.648',-1.785
'0:00.652',-1.800
'0:00.656',-1.815
'0:00.660',-1.825
'0:00.664',-1.835
'0:00.668',-1.835
'0:00.672',-1.835
'0:00.676',-1.820
'0:00.680',-1.825
'0:00.684',-1.815
'0:00.688',-1.820
'0:00.692',-1.815
'0:00.696',-1.810
'0:00.700',-1.815
'0:00.704',-1.820
'0:00.708',-1.825
'0:00.712',-1.835
'0:00.716',-1.835
'0:00.720',-1.820
'0:00.724',-1.805
'0:00.728',-1.800
'0:00.732',-1.800
'0:00.736',-1.765
'0:00.740',-1.680
'0:00.744',-1.515
'0:00.748',-1.300
'0:00.752',-1.075
'0:00.756',-0.870
'0:00.760',-0.765
'0:00.764',-0.790
'0:00.768',-0.975
'0:00.772',-1.250
'0:00.776',-1.555
'0:00.780',-1.815
'0:00.784',-1.990
'0:00.788',-2.090
'0:00.792',-2.115
'0:00.796',-2.065
'0:00.800',-2.010
'0:00.804',-1.950
'0:00.808',-1.905
'0:00.812',-1.865
'0:00.816',-1.835
'0:00.820',-1.820
'0:00.824',-1.805
'0:00.828',-1.795
'0:00.832',-1.790
'0:00.836',-1.790
'0:00.840',-1.785
'0:00.844',-1.780
'0:00.848',-1.765
'0:00.852',-1.755
'0:00.856',-1.745
'0:00.860',-1.740
'0:00.864',-1.740
'0:00.868',-1.740
'0:00.872',-1.740
'0:00.876',-1.735
'0:00.880',-1.735
'0:00.884',-1.715
'0:00.888',-1.695
'0:00.892',-1.695
'0:00.896',-1.695
'0:00.900',-1.685
'0:00.904',-1.690
'0:00.908',-1.675
'0:00.912',-1.670
'0:00.916',-1.660
'0:00.920',-1.655
'0:00.924',-1.640
'0:00.928',-1.625
'0:00.932',-1.600
'0:00.936',-1.590
'0:00.940',-1.575
'0:00.944',-1.555
'0:00.948',-1.550
'0:00.952',-1.515
'0:00.956',-1.495
'0:00.960',-1.465
'0:00.964',-1.460
'0:00.968',-1.440
'0:00.972',-1.405
'0:00.976',-1.375
'0:00.980',-1.350
'0:00.984',-1.335
'0:00.988',-1.320
'0:00.992',-1.305
'0:00.996',-1.295
'0:01.000',-1.290
'0:01.004',-1.280
'0:01.008',-1.275
'0:01.012',-1.285
'0:01.016',-1.300
'0:01.020',-1.320
'0:01.024',-1.335
'0:01.028',-1.365
'0:01.032',-1.400
'0:01.036',-1.440
'0:01.040',-1.485
'0:01.044',-1.525
'0:01.048',-1.555
'0:01.052',-1.585
'0:01.056',-1.615
'0:01.060',-1.645
'0:01.064',-1.670
'0:01.068',-1.695
'0:01.072',-1.720
'0:01.076',-1.740
'0:01.080',-1.745
'0:01.084',-1.755
'0:01.088',-1.770
'0:01.092',-1.780
'0:01.096',-1.790
'0:01.100',-1.790
'0:01.104',-1.805
'0:01.108',-1.805
'0:01.112',-1.810
'0:01.116',-1.815
'0:01.120',-1.810
'0:01.124',-1.810
'0:01.128',-1.820
'0:01.132',-1.810
'0:01.136',-1.815
'0:01.140',-1.810
'0:01.144',-1.810
'0:01.148',-1.820
'0:01.152',-1.810
'0:01.156',-1.815
'0:01.160',-1.810
'0:01.164',-1.805
'0:01.168',-1.805
'0:01.172',-1.795
'0:01.176',-1.795
'0:01.180',-1.790
'0:01.184',-1.785
'0:01.188',-1.790
'0:01.192',-1.785
'0:01.196',-1.790
'0:01.200',-1.790
'0:01.204',-1.790
'0:01.208',-1.790
'0:01.212',-1.795
'0:01.216',-1.795
'0:01.220',-1.795
'0:01.224',-1.800
'0:01.228',-1.800
'0:01.232',-1.810
'0:01.236',-1.810
'0:01.240',-1.820
'0:01.244',-1.820
'0:01.248',-1.825
'0:01.252',-1.830
'0:01.256',-1.825
'0:01.260',-1.835
'0:01.264',-1.825
'0:01.268',-1.815
'0:01.272',-1.820
'0:01.276',-1.825
'0:01.280',-1.825
'0:01.284',-1.830
'0:01.288',-1.835
'0:01.292',-1.835
'0:01.296',-1.850
'0:01.300',-1.835
'0:01.304',-1.835
'0:01.308',-1.835
'0:01.312',-1.845
'0:01.316',-1.855
'0:01.320',-1.855
'0:01.324',-1.845
'0:01.328',-1.840
'0:01.332',-1.855
'0:01.336',-1.855
'0:01.340',-1.860
'0:01.344',-1.855
'0:01.348',-1.855
'0:01.352',-1.850
'0:01.356',-1.835
'0:01.360',-1.825
'0:01.364',-1.820
'0:01.368',-1.820
'0:01.372',-1.810
'0:01.376',-1.800
'0:01.380',-1.790
'0:01.384',-1.785
'0:01.388',-1.780
'0:01.392',-1.770
'0:01.396',-1.770
'0:01.400',-1.775
'0:01.404',-1.785
'0:01.408',-1.785
'0:01.412',-1.810
'0:01.416',-1.825
'0:01.420',-1.850
'0:01.424',-1.860
'0:01.428',-1.865
'0:01.432',-1.870
'0:01.436',-1.860
'0:01.440',-1.865
'0:01.444',-1.870
'0:01.448',-1.875
'0:01.452',-1.870
'0:01.456',-1.870
'0:01.460',-1.885
'0:01.464',-1.885
'0:01.468',-1.885
'0:01.472',-1.895
'0:01.476',-1.885
'0:01.480',-1.875
'0:01.484',-1.880
'0:01.488',-1.875
'0:01.492',-1.870
'0:01.496',-1.875
'0:01.500',-1.875
'0:01.504',-1.825
'0:01.508',-1.690
'0:01.512',-1.485
'0:01.516',-1.250
'0:01.520',-0.990
'0:01.524',-0.765
'0:01.528',-0.645
'0:01.532',-0.685
'0:01.536',-0.880
'0:01.540',-1.195
'0:01.544',-1.555
'0:01.548',-1.855
'0:01.552',-2.045
'0:01.556',-2.115
'0:01.560',-2.105
'0:01.564',-2.050
'0:01.568',-2.005
'0:01.572',-1.965
'0:01.576',-1.940
'0:01.580',-1.910
'0:01.584',-1.895
'0:01.588',-1.870
'0:01.592',-1.855
'0:01.596',-1.855
'0:01.600',-1.855
'0:01.604',-1.855
'0:01.608',-1.855
'0:01.612',-1.855
'0:01.616',-1.855
'0:01.620',-1.840
'0:01.624',-1.825
'0:01.628',-1.825
'0:01.632',-1.825
'0:01.636',-1.815
'0:01.640',-1.805
'0:01.644',-1.795
'0:01.648',-1.795
'0:01.652',-1.810
'0:01.656',-1.790
'0:01.660',-1.785
'0:01.664',-1.780
'0:01.668',-1.775
'0:01.672',-1.770
'0:01.676',-1.750
'0:01.680',-1.740
'0:01.684',-1.735
'0:01.688',-1.725
'0:01.692',-1.715
'0:01.696',-1.705
'0:01.700',-1.695
'0:01.704',-1.675
'0:01.708',-1.660
'0:01.712',-1.635
'0:01.716',-1.625
'0:01.720',-1.605
'0:01.724',-1.580
'0:01.728',-1.570
'0:01.732',-1.555
'0:01.736',-1.520
'0:01.740',-1.490
'0:01.744',-1.465
'0:01.748',-1.440
'0:01.752',-1.425
'0:01.756',-1.405
'0:01.760',-1.390
'0:01.764',-1.390
'0:01.768',-1.375
'0:01.772',-1.380
'0:01.776',-1.375
'0:01.780',-1.390
'0:01.784',-1.385
'0:01.788',-1.405
'0:01.792',-1.415
'0:01.796',-1.440
'0:01.800',-1.475
'0:01.804',-1.495
'0:01.808',-1.535
'0:01.812',-1.580
'0:01.816',-1.620
'0:01.820',-1.635
'0:01.824',-1.685
'0:01.828',-1.705
'0:01.832',-1.725
'0:01.836',-1.745
'0:01.840',-1.780
'0:01.844',-1.780
'0:01.848',-1.795
'0:01.852',-1.810
'0:01.856',-1.815
'0:01.860',-1.830
'0:01.864',-1.835
'0:01.868',-1.845
'0:01.872',-1.840
'0:01.876',-1.855
'0:01.880',-1.850
'0:01.884',-1.845
'0:01.888',-1.835
'0:01.892',-1.840
'0:01.896',-1.850
'0:01.900',-1.850
'0:01.904',-1.850
'0:01.908',-1.855
'0:01.912',-1.855
'0:01.916',-1.850
'0:01.920',-1.850
'0:01.924',-1.855
'0:01.928',-1.855
'0:01.932',-1.855
'0:01.936',-1.855
'0:01.940',-1.850
'0:01.944',-1.845
'0:01.948',-1.845
'0:01.952',-1.835
'0:01.956',-1.835
'0:01.960',-1.830
'0:01.964',-1.835
'0:01.968',-1.840
'0:01.972',-1.835
'0:01.976',-1.835
'0:01.980',-1.830
'0:01.984',-1.825
'0:01.988',-1.825
'0:01.992',-1.825
'0:01.996',-1.825
'0:02.000',-1.830
'0:02.004',-1.835
'0:02.008',-1.840
'0:02.012',-1.830
'0:02.016',-1.820
'0:02.020',-1.810
'0:02.024',-1.795
'0:02.028',-1.785
'0:02.032',-1.745
'0:02.036',-1.715
'0:02.040',-1.665
'0:02.044',-1.590
'0:02.048',-1.505
'0:02.052',-1.435
'0:02.056',-1.375
