'Elapsed time','ECG1'
'hh:mm:ss.mmm','mV'
'0:00.000',0.505
'0:00.004',0.545
'0:00.008',0.590
'0:00.012',0.615
'0:00.016',0.645
'0:00.020',0.650
'0:00.024',0.660
'0:00.028',0.645
'0:00.032',0.630
'0:00.036',0.605
'0:00.040',0.555
'0:00.044',0.500
'0:00.048',0.400
'0:00.052',0.275
'0:00.056',0.145
'0:00.060',0.045
'0:00.064',-0.005
'0:00.068',-0.050
'0:00.072',-0.075
'0:00.076',-0.080
'0:00.080',-0.085
'0:00.084',-0.085
'0:00.088',-0.090
'0:00.092',-0.090
'0:00.096',-0.095
'0:00.100',-0.095
'0:00.104',-0.095
'0:00.108',-0.095
'0:00.112',-0.095
'0:00.116',-0.095
'0:00.120',-0.095
'0:00.124',-0.100
'0:00.128',-0.105
'0:00.132',-0.105
'0:00.136',-0.100
'0:00.140',-0.100
'0:00.144',-0.105
'0:00.148',-0.105
'0:00.152',-0.105
'0:00.156',-0.105
'0:00.160',-0.110
'0:00.164',-0.110
'0:00.168',-0.105
'0:00.172',-0.105
'0:00.176',-0.105
'0:00.180',-0.105
'0:00.184',-0.110
'0:00.188',-0.110
'0:00.192',-0.115
'0:00.196',-0.120
'0:00.200',-0.120
'0:00.204',-0.125
'0:00.208',-0.125
'0:00.212',-0.130
'0:00.216',-0.130
'0:00.220',-0.125
'0:00.224',-0.125
'0:00.228',-0.125
'0:00.232',-0.120
'0:00.236',-0.115
'0:00.240',-0.105
'0:00.244',-0.095
'0:00.248',-0.085
'0:00.252',-0.080
'0:00.256',-0.075
'0:00.260',-0.075
'0:00.264',-0.070
'0:00.268',-0.070
'0:00.272',-0.065
'0:00.276',-0.070
'0:00.280',-0.075
'0:00.284',-0.075
'0:00.288',-0.075
'0:00.292',-0.080
'0:00.296',-0.085
'0:00.300',-0.085
'0:00.304',-0.090
'0:00.308',-0.090
'0:00.312',-0.095
'0:00.316',-0.100
'0:00.320',-0.105
'0:00.324',-0.110
'0:00.328',-0.115
'0:00.332',-0.120
'0:00.336',-0.125
'0:00.340',-0.130
'0:00.344',-0.140
'0:00.348',-0.145
'0:00.352',-0.150
'0:00.356',-0.155
'0:00.360',-0.170
'0:00.364',-0.175
'0:00.368',-0.185
'0:00.372',-0.185
'0:00.376',-0.180
'0:00.380',-0.185
'0:00.384',-0.190
'0:00.388',-0.190
'0:00.392',-0.185
'0:00.396',-0.190
'0:00.400',-0.190
'0:00.404',-0.180
'0:00.408',-0.175
'0:00.412',-0.170
'0:00.416',-0.165
'0:00.420',-0.155
'0:00.424',-0.150
'0:00.428',-0.150
'0:00.432',-0.155
'0:00.436',-0.150
'0:00.440',-0.135
'0:00.444',-0.125
'0:00.448',-0.115
'0:00.452',-0.110
'0:00.456',-0.100
'0:00.460',-0.095
'0:00.464',-0.090
'0:00.468',-0.080
'0:00.472',-0.075
'0:00.476',-0.065
'0:00.480',-0.055
'0:00.484',-0.045
'0:00.488',-0.040
'0:00.492',-0.030
'0:00.496',-0.020
'0:00.500',-0.015
'0:00.504',-0.015
'0:00.508',-0.010
'0:00.512',-0.010
'0:00.516',-0.005
'0:00.520',-0.005
'0:00.524',0.000
'0:00.528',0.000
'0:00.532',0.000
'0:00.536',0.000
'0:00.540',0.005
'0:00.544',0.015
'0:00.548',0.010
'0:00.552',0.015
'0:00.556',0.020
'0:00.560',0.030
'0:00.564',0.035
'0:00.568',0.040
'0:00.572',0.045
'0:00.576',0.040
'0:00.580',0.040
'0:00.584',0.035
'0:00.588',0.035
'0:00.592',0.035
'0:00.596',0.040
'0:00.600',0.050
'0:00.604',0.040
'0:00.608',0.030
'0:00.612',0.030
'0:00.616',0.030
'0:00.620',0.025
'0:00.624',0.020
'0:00.628',0.015
'0:00.632',0.015
'0:00.636',0.015
'0:00.640',0.010
'0:00.644',0.010
'0:00.648',0.005
'0:00.652',0.005
'0:00.656',0.000
'0:00.660',0.000
'0:00.664',0.000
'0:00.668',-0.005
'0:00.672',-0.010
'0:00.676',-0.015
'0:00.680',-0.010
'0:00.684',-0.005
'0:00.688',-0.005
'0:00.692',-0.015
'0:00.696',-0.025
'0:00.700',-0.025
'0:00.704',-0.020
'0:00.708',-0.020
'0:00.712',-0.025
'0:00.716',-0.020
'0:00.720',-0.015
'0:00.724',-0.015
'0:00.728',-0.015
'0:00.732',-0.015
'0:00.736',-0.015
'0:00.740',-0.015
'0:00.744',-0.020
'0:00.748',-0.020
'0:00.752',-0.020
'0:00.756',-0.020
'0:00.760',-0.020
'0:00.764',-0.015
'0:00.768',-0.010
'0:00.772',-0.010
'0:00.776',-0.010
'0:00.780',-0.010
