'Elapsed time','D3'
'hh:mm:ss.mmm','mV'
'0:00.000',15.575
'0:00.004',15.575
'0:00.008',15.600
'0:00.012',15.592
'0:00.016',15.575
'0:00.020',15.558
'0:00.024',15.558
'0:00.028',15.600
'0:00.032',15.575
'0:00.036',15.592
'0:00.040',15.600
'0:00.044',15.600
'0:00.048',15.592
'0:00.052',15.600
'0:00.056',15.533
'0:00.060',15.600
'0:00.064',15.600
'0:00.068',15.617
'0:00.072',15.600
'0:00.076',15.558
'0:00.080',15.575
'0:00.084',15.592
'0:00.088',15.600
'0:00.092',15.600
'0:00.096',15.558
'0:00.100',15.592
'0:00.104',15.600
'0:00.108',15.600
'0:00.112',15.592
'0:00.116',15.617
'0:00.120',15.617
'0:00.124',15.625
'0:00.128',15.633
'0:00.132',15.633
'0:00.136',15.642
'0:00.140',15.642
'0:00.144',15.667
'0:00.148',15.675
'0:00.152',15.700
'0:00.156',15.700
'0:00.160',15.708
'0:00.164',15.742
'0:00.168',15.742
'0:00.172',15.767
'0:00.176',15.775
'0:00.180',15.817
'0:00.184',15.817
'0:00.188',15.833
'0:00.192',15.817
'0:00.196',15.817
'0:00.200',15.817
'0:00.204',15.817
'0:00.208',15.792
'0:00.212',15.767
'0:00.216',15.725
'0:00.220',15.692
'0:00.224',15.633
'0:00.228',15.633
'0:00.232',15.617
'0:00.236',15.600
'0:00.240',15.558
'0:00.244',15.517
'0:00.248',15.517
'0:00.252',15.517
'0:00.256',15.475
'0:00.260',15.458
'0:00.264',15.458
'0:00.268',15.458
'0:00.272',15.450
'0:00.276',15.458
'0:00.280',15.433
'0:00.284',15.433
'0:00.288',15.433
'0:00.292',15.433
'0:00.296',15.433
'0:00.300',15.433
'0:00.304',15.425
'0:00.308',15.400
'0:00.312',15.433
'0:00.316',15.433
'0:00.320',15.400
'0:00.324',15.433
'0:00.328',15.433
'0:00.332',15.433
'0:00.336',15.450
'0:00.340',15.425
'0:00.344',15.433
'0:00.348',15.433
'0:00.352',15.425
'0:00.356',15.433
'0:00.360',15.433
'0:00.364',15.433
'0:00.368',15.433
'0:00.372',15.433
'0:00.376',15.433
'0:00.380',15.433
'0:00.384',15.425
'0:00.388',15.433
'0:00.392',15.433
'0:00.396',15.433
'0:00.400',15.433
'0:00.404',15.433
'0:00.408',15.433
'0:00.412',15.400
'0:00.416',15.425
'0:00.420',15.433
'0:00.424',15.433
'0:00.428',15.433
'0:00.432',15.400
'0:00.436',15.433
'0:00.440',15.400
'0:00.444',15.425
'0:00.448',15.425
'0:00.452',15.375
'0:00.456',15.400
'0:00.460',15.433
'0:00.464',15.400
'0:00.468',15.425
'0:00.472',15.400
'0:00.476',15.400
'0:00.480',15.400
'0:00.484',15.400
'0:00.488',15.400
'0:00.492',15.375
'0:00.496',15.375
'0:00.500',15.400
'0:00.504',15.400
'0:00.508',15.400
'0:00.512',15.400
'0:00.516',15.400
'0:00.520',15.392
'0:00.524',15.375
'0:00.528',15.400
'0:00.532',15.400
'0:00.536',15.400
'0:00.540',15.400
'0:00.544',15.392
'0:00.548',15.375
'0:00.552',15.392
'0:00.556',15.392
'0:00.560',15.375
'0:00.564',15.375
'0:00.568',15.375
'0:00.572',15.400
'0:00.576',15.375
'0:00.580',15.358
'0:00.584',15.392
'0:00.588',15.392
'0:00.592',15.375
'0:00.596',15.400
'0:00.600',15.358
'0:00.604',15.375
'0:00.608',15.375
'0:00.612',15.375
'0:00.616',15.392
'0:00.620',15.375
'0:00.624',15.375
'0:00.628',15.400
'0:00.632',15.392
'0:00.636',15.375
'0:00.640',15.367
'0:00.644',15.375
'0:00.648',15.392
'0:00.652',15.392
'0:00.656',15.375
'0:00.660',15.392
'0:00.664',15.392
'0:00.668',15.392
'0:00.672',15.367
'0:00.676',15.375
'0:00.680',15.392
'0:00.684',15.392
'0:00.688',15.375
'0:00.692',15.400
'0:00.696',15.400
'0:00.700',15.375
'0:00.704',15.375
'0:00.708',15.392
'0:00.712',15.392
'0:00.716',15.375
'0:00.720',15.375
'0:00.724',15.392
'0:00.728',15.392
'0:00.732',15.367
'0:00.736',15.375
'0:00.740',15.358
'0:00.744',15.392
'0:00.748',15.350
'0:00.752',15.375
'0:00.756',15.400
'0:00.760',15.400
'0:00.764',15.400
'0:00.768',15.350
'0:00.772',15.400
'0:00.776',15.392
'0:00.780',15.400
'0:00.784',15.400
'0:00.788',15.400
'0:00.792',15.425
'0:00.796',15.433
'0:00.800',15.433
'0:00.804',15.433
'0:00.808',15.433
'0:00.812',15.433
'0:00.816',15.433
'0:00.820',15.433
'0:00.824',15.392
'0:00.828',15.400
'0:00.832',15.425
'0:00.836',15.433
'0:00.840',15.425
'0:00.844',15.400
'0:00.848',15.375
'0:00.852',15.375
'0:00.856',15.358
'0:00.860',15.392
'0:00.864',15.375
'0:00.868',15.375
'0:00.872',15.392
'0:00.876',15.358
'0:00.880',15.367
'0:00.884',15.367
'0:00.888',15.392
'0:00.892',15.375
'0:00.896',15.400
'0:00.900',15.400
'0:00.904',15.400
'0:00.908',15.400
'0:00.912',15.400
'0:00.916',15.400
'0:00.920',15.400
'0:00.924',15.400
'0:00.928',15.425
'0:00.932',15.400
'0:00.936',15.300
'0:00.940',15.358
'0:00.944',15.425
'0:00.948',15.517
'0:00.952',15.600
'0:00.956',15.667
'0:00.960',15.725
'0:00.964',15.792
'0:00.968',15.875
'0:00.972',16.017
'0:00.976',16.225
'0:00.980',16.367
'0:00.984',16.325
'0:00.988',16.125
'0:00.992',15.750
'0:00.996',15.375
'0:01.000',15.150
'0:01.004',15.083
'0:01.008',15.200
'0:01.012',15.325
'0:01.016',15.450
'0:01.020',15.500
'0:01.024',15.558
'0:01.028',15.558
'0:01.032',15.558
'0:01.036',15.558
'0:01.040',15.558
'0:01.044',15.558
'0:01.048',15.542
'0:01.052',15.542
'0:01.056',15.542
'0:01.060',15.558
'0:01.064',15.558
'0:01.068',15.558
'0:01.072',15.558
'0:01.076',15.558
'0:01.080',15.558
'0:01.084',15.558
'0:01.088',15.558
'0:01.092',15.558
'0:01.096',15.558
'0:01.100',15.558
'0:01.104',15.525
'0:01.108',15.558
'0:01.112',15.558
'0:01.116',15.575
'0:01.120',15.558
'0:01.124',15.517
'0:01.128',15.542
'0:01.132',15.542
'0:01.136',15.558
'0:01.140',15.558
'0:01.144',15.558
'0:01.148',15.558
'0:01.152',15.558
'0:01.156',15.558
'0:01.160',15.558
'0:01.164',15.558
'0:01.168',15.558
'0:01.172',15.558
'0:01.176',15.558
'0:01.180',15.558
'0:01.184',15.558
'0:01.188',15.558
'0:01.192',15.558
'0:01.196',15.558
'0:01.200',15.575
'0:01.204',15.575
'0:01.208',15.617
'0:01.212',15.600
'0:01.216',15.617
'0:01.220',15.617
'0:01.224',15.633
'0:01.228',15.633
'0:01.232',15.667
'0:01.236',15.692
'0:01.240',15.700
'0:01.244',15.700
'0:01.248',15.700
'0:01.252',15.742
'0:01.256',15.742
'0:01.260',15.767
'0:01.264',15.767
'0:01.268',15.775
'0:01.272',15.833
'0:01.276',15.775
'0:01.280',15.775
'0:01.284',15.767
'0:01.288',15.750
'0:01.292',15.692
'0:01.296',15.708
'0:01.300',15.667
'0:01.304',15.633
'0:01.308',15.600
'0:01.312',15.558
'0:01.316',15.533
'0:01.320',15.525
'0:01.324',15.500
'0:01.328',15.475
'0:01.332',15.458
'0:01.336',15.458
'0:01.340',15.458
