'Elapsed time','CM5'
'hh:mm:ss.mmm','mV'
'0:00.000',-6.040
'0:00.004',-6.040
'0:00.008',-6.035
'0:00.012',-6.035
'0:00.016',-6.040
'0:00.020',-6.035
'0:00.024',-6.020
'0:00.028',-6.015
'0:00.032',-6.000
'0:00.036',-5.985
'0:00.040',-5.960
'0:00.044',-5.940
'0:00.048',-5.915
'0:00.052',-5.895
'0:00.056',-5.870
'0:00.060',-5.840
'0:00.064',-5.805
'0:00.068',-5.765
'0:00.072',-5.725
'0:00.076',-5.685
'0:00.080',-5.660
'0:00.084',-5.620
'0:00.088',-5.600
'0:00.092',-5.585
'0:00.096',-5.570
'0:00.100',-5.565
'0:00.104',-5.570
'0:00.108',-5.560
'0:00.112',-5.555
'0:00.116',-5.555
'0:00.120',-5.565
'0:00.124',-5.590
'0:00.128',-5.605
'0:00.132',-5.630
'0:00.136',-5.640
'0:00.140',-5.650
'0:00.144',-5.660
'0:00.148',-5.670
'0:00.152',-5.690
'0:00.156',-5.720
'0:00.160',-5.740
'0:00.164',-5.760
'0:00.168',-5.775
'0:00.172',-5.775
'0:00.176',-5.785
'0:00.180',-5.800
'0:00.184',-5.820
'0:00.188',-5.835
'0:00.192',-5.840
'0:00.196',-5.840
'0:00.200',-5.840
'0:00.204',-5.840
'0:00.208',-5.840
'0:00.212',-5.855
'0:00.216',-5.860
'0:00.220',-5.865
'0:00.224',-5.880
'0:00.228',-5.880
'0:00.232',-5.880
'0:00.236',-5.875
'0:00.240',-5.865
'0:00.244',-5.855
'0:00.248',-5.855
'0:00.252',-5.860
'0:00.256',-5.860
'0:00.260',-5.850
'0:00.264',-5.845
'0:00.268',-5.840
'0:00.272',-5.825
'0:00.276',-5.810
'0:00.280',-5.800
'0:00.284',-5.795
'0:00.288',-5.775
'0:00.292',-5.765
'0:00.296',-5.755
'0:00.300',-5.735
'0:00.304',-5.710
'0:00.308',-5.685
'0:00.312',-5.680
'0:00.316',-5.690
'0:00.320',-5.690
'0:00.324',-5.695
'0:00.328',-5.710
'0:00.332',-5.715
'0:00.336',-5.720
'0:00.340',-5.735
'0:00.344',-5.755
'0:00.348',-5.770
'0:00.352',-5.785
'0:00.356',-5.805
'0:00.360',-5.835
'0:00.364',-5.860
'0:00.368',-5.870
'0:00.372',-5.870
'0:00.376',-5.870
'0:00.380',-5.875
'0:00.384',-5.880
'0:00.388',-5.880
'0:00.392',-5.880
'0:00.396',-5.880
'0:00.400',-5.885
'0:00.404',-5.880
'0:00.408',-5.875
'0:00.412',-5.880
'0:00.416',-5.910
'0:00.420',-5.905
'0:00.424',-5.845
'0:00.428',-5.720
'0:00.432',-5.590
'0:00.436',-5.395
'0:00.440',-5.080
'0:00.444',-4.685
'0:00.448',-4.340
'0:00.452',-4.140
'0:00.456',-4.070
'0:00.460',-4.115
'0:00.464',-4.320
'0:00.468',-4.630
'0:00.472',-5.050
'0:00.476',-5.500
'0:00.480',-5.925
'0:00.484',-6.215
'0:00.488',-6.315
'0:00.492',-6.305
'0:00.496',-6.305
'0:00.500',-6.300
'0:00.504',-6.275
'0:00.508',-6.235
'0:00.512',-6.190
'0:00.516',-6.145
'0:00.520',-6.120
'0:00.524',-6.110
'0:00.528',-6.100
'0:00.532',-6.100
'0:00.536',-6.085
