'Elapsed time','D3'
'hh:mm:ss.mmm','mV'
'0:00.000',-4.000
'0:00.004',-3.950
'0:00.008',-3.900
'0:00.012',-3.850
'0:00.016',-3.820
'0:00.020',-3.815
'0:00.024',-3.820
'0:00.028',-3.820
'0:00.032',-3.815
'0:00.036',-3.810
'0:00.040',-3.800
'0:00.044',-3.800
'0:00.048',-3.795
'0:00.052',-3.800
'0:00.056',-3.790
'0:00.060',-3.795
'0:00.064',-3.795
'0:00.068',-3.795
'0:00.072',-3.790
'0:00.076',-3.795
'0:00.080',-3.800
'0:00.084',-3.795
'0:00.088',-3.790
'0:00.092',-3.795
'0:00.096',-3.795
'0:00.100',-3.795
'0:00.104',-3.780
'0:00.108',-3.790
'0:00.112',-3.795
'0:00.116',-3.800
'0:00.120',-3.785
'0:00.124',-3.775
'0:00.128',-3.785
'0:00.132',-3.795
'0:00.136',-3.785
'0:00.140',-3.770
'0:00.144',-3.770
'0:00.148',-3.760
'0:00.152',-3.775
'0:00.156',-3.795
'0:00.160',-3.785
'0:00.164',-3.785
'0:00.168',-3.775
'0:00.172',-3.775
'0:00.176',-3.775
'0:00.180',-3.755
'0:00.184',-3.750
'0:00.188',-3.750
'0:00.192',-3.760
'0:00.196',-3.750
'0:00.200',-3.770
'0:00.204',-3.770
'0:00.208',-3.755
'0:00.212',-3.720
'0:00.216',-3.715
'0:00.220',-3.730
'0:00.224',-3.730
'0:00.228',-3.720
'0:00.232',-3.720
'0:00.236',-3.710
'0:00.240',-3.705
'0:00.244',-3.705
'0:00.248',-3.710
'0:00.252',-3.705
'0:00.256',-3.700
'0:00.260',-3.685
'0:00.264',-3.680
'0:00.268',-3.665
'0:00.272',-3.670
'0:00.276',-3.675
'0:00.280',-3.670
'0:00.284',-3.660
'0:00.288',-3.665
'0:00.292',-3.675
'0:00.296',-3.695
'0:00.300',-3.700
'0:00.304',-3.695
'0:00.308',-3.710
'0:00.312',-3.715
'0:00.316',-3.735
'0:00.320',-3.750
'0:00.324',-3.760
'0:00.328',-3.765
'0:00.332',-3.770
'0:00.336',-3.770
'0:00.340',-3.770
'0:00.344',-3.785
'0:00.348',-3.785
'0:00.352',-3.790
'0:00.356',-3.795
'0:00.360',-3.780
'0:00.364',-3.780
'0:00.368',-3.790
'0:00.372',-3.800
'0:00.376',-3.800
'0:00.380',-3.795
'0:00.384',-3.800
'0:00.388',-3.790
'0:00.392',-3.795
'0:00.396',-3.795
'0:00.400',-3.795
'0:00.404',-3.790
'0:00.408',-3.795
'0:00.412',-3.785
'0:00.416',-3.785
'0:00.420',-3.795
'0:00.424',-3.795
'0:00.428',-3.795
'0:00.432',-3.785
'0:00.436',-3.800
'0:00.440',-3.805
'0:00.444',-3.795
'0:00.448',-3.765
'0:00.452',-3.765
'0:00.456',-3.775
'0:00.460',-3.785
'0:00.464',-3.785
'0:00.468',-3.795
'0:00.472',-3.795
'0:00.476',-3.790
'0:00.480',-3.790
'0:00.484',-3.780
'0:00.488',-3.775
'0:00.492',-3.770
'0:00.496',-3.775
'0:00.500',-3.785
'0:00.504',-3.795
'0:00.508',-3.800
'0:00.512',-3.800
'0:00.516',-3.800
'0:00.520',-3.785
'0:00.524',-3.795
'0:00.528',-3.795
'0:00.532',-3.785
'0:00.536',-3.780
'0:00.540',-3.785
'0:00.544',-3.800
'0:00.548',-3.810
'0:00.552',-3.800
'0:00.556',-3.795
'0:00.560',-3.795
'0:00.564',-3.795
'0:00.568',-3.795
'0:00.572',-3.805
'0:00.576',-3.810
'0:00.580',-3.810
'0:00.584',-3.815
'0:00.588',-3.820
'0:00.592',-3.810
'0:00.596',-3.795
'0:00.600',-3.790
'0:00.604',-3.785
'0:00.608',-3.800
'0:00.612',-3.815
'0:00.616',-3.810
'0:00.620',-3.815
'0:00.624',-3.805
'0:00.628',-3.790
'0:00.632',-3.785
'0:00.636',-3.785
'0:00.640',-3.795
'0:00.644',-3.795
'0:00.648',-3.800
'0:00.652',-3.795
'0:00.656',-3.795
'0:00.660',-3.795
'0:00.664',-3.800
'0:00.668',-3.805
'0:00.672',-3.810
