'Elapsed time','CM5'
'hh:mm:ss.mmm','mV'
'0:00.000',-6.545
'0:00.004',-6.535
'0:00.008',-6.520
'0:00.012',-6.535
'0:00.016',-6.530
'0:00.020',-6.520
'0:00.024',-6.540
'0:00.028',-6.560
'0:00.032',-6.565
'0:00.036',-6.550
'0:00.040',-6.475
'0:00.044',-6.285
'0:00.048',-5.990
'0:00.052',-5.660
'0:00.056',-5.350
'0:00.060',-5.160
'0:00.064',-5.085
'0:00.068',-5.150
'0:00.072',-5.585
'0:00.076',-6.235
'0:00.080',-6.465
'0:00.084',-6.470
'0:00.088',-6.425
'0:00.092',-6.410
'0:00.096',-6.420
'0:00.100',-6.440
'0:00.104',-6.480
'0:00.108',-6.495
'0:00.112',-6.530
'0:00.116',-6.570
'0:00.120',-6.570
'0:00.124',-6.555
'0:00.128',-6.565
'0:00.132',-6.570
'0:00.136',-6.570
'0:00.140',-6.570
'0:00.144',-6.575
'0:00.148',-6.565
'0:00.152',-6.570
'0:00.156',-6.580
'0:00.160',-6.580
'0:00.164',-6.580
'0:00.168',-6.590
'0:00.172',-6.585
'0:00.176',-6.590
'0:00.180',-6.600
'0:00.184',-6.635
'0:00.188',-6.620
'0:00.192',-6.590
'0:00.196',-6.570
'0:00.200',-6.550
'0:00.204',-6.540
'0:00.208',-6.555
'0:00.212',-6.560
'0:00.216',-6.560
'0:00.220',-6.565
'0:00.224',-6.570
'0:00.228',-6.580
'0:00.232',-6.575
'0:00.236',-6.590
'0:00.240',-6.590
'0:00.244',-6.580
'0:00.248',-6.575
'0:00.252',-6.570
'0:00.256',-6.560
'0:00.260',-6.570
'0:00.264',-6.575
'0:00.268',-6.575
'0:00.272',-6.585
'0:00.276',-6.595
'0:00.280',-6.595
'0:00.284',-6.600
'0:00.288',-6.620
'0:00.292',-6.605
'0:00.296',-6.615
'0:00.300',-6.600
'0:00.304',-6.560
'0:00.308',-6.565
'0:00.312',-6.580
'0:00.316',-6.585
'0:00.320',-6.605
'0:00.324',-6.605
'0:00.328',-6.605
'0:00.332',-6.600
'0:00.336',-6.590
'0:00.340',-6.580
'0:00.344',-6.560
'0:00.348',-6.550
'0:00.352',-6.515
'0:00.356',-6.475
'0:00.360',-6.450
'0:00.364',-6.435
'0:00.368',-6.420
'0:00.372',-6.435
'0:00.376',-6.435
'0:00.380',-6.405
'0:00.384',-6.385
'0:00.388',-6.395
'0:00.392',-6.420
'0:00.396',-6.410
'0:00.400',-6.415
'0:00.404',-6.415
'0:00.408',-6.425
'0:00.412',-6.425
'0:00.416',-6.420
'0:00.420',-6.410
'0:00.424',-6.415
'0:00.428',-6.425
'0:00.432',-6.440
'0:00.436',-6.440
'0:00.440',-6.440
'0:00.444',-6.450
'0:00.448',-6.430
'0:00.452',-6.430
'0:00.456',-6.430
'0:00.460',-6.425
'0:00.464',-6.425
'0:00.468',-6.435
'0:00.472',-6.435
'0:00.476',-6.420
'0:00.480',-6.405
'0:00.484',-6.410
'0:00.488',-6.400
'0:00.492',-6.420
'0:00.496',-6.410
'0:00.500',-6.390
'0:00.504',-6.395
'0:00.508',-6.410
'0:00.512',-6.400
'0:00.516',-6.400
'0:00.520',-6.400
'0:00.524',-6.410
'0:00.528',-6.425
'0:00.532',-6.425
'0:00.536',-6.425
'0:00.540',-6.435
'0:00.544',-6.435
'0:00.548',-6.435
'0:00.552',-6.435
'0:00.556',-6.455
'0:00.560',-6.475
'0:00.564',-6.455
'0:00.568',-6.440
'0:00.572',-6.425
'0:00.576',-6.425
'0:00.580',-6.405
'0:00.584',-6.390
'0:00.588',-6.390
'0:00.592',-6.375
'0:00.596',-6.380
'0:00.600',-6.365
'0:00.604',-6.340
'0:00.608',-6.320
'0:00.612',-6.285
'0:00.616',-6.270
'0:00.620',-6.300
'0:00.624',-6.320
'0:00.628',-6.340
'0:00.632',-6.330
'0:00.636',-6.330
'0:00.640',-6.365
'0:00.644',-6.385
'0:00.648',-6.415
'0:00.652',-6.465
'0:00.656',-6.495
'0:00.660',-6.515
'0:00.664',-6.525
'0:00.668',-6.535
'0:00.672',-6.540
'0:00.676',-6.530
'0:00.680',-6.520
'0:00.684',-6.515
'0:00.688',-6.520
'0:00.692',-6.530
'0:00.696',-6.535
'0:00.700',-6.540
'0:00.704',-6.550
'0:00.708',-6.560
'0:00.712',-6.560
'0:00.716',-6.540
'0:00.720',-6.540
'0:00.724',-6.540
'0:00.728',-6.535
'0:00.732',-6.555
'0:00.736',-6.555
'0:00.740',-6.545
'0:00.744',-6.505
'0:00.748',-6.375
'0:00.752',-6.105
'0:00.756',-5.760
'0:00.760',-5.415
'0:00.764',-5.160
'0:00.768',-5.040
'0:00.772',-5.060
'0:00.776',-5.315
'0:00.780',-5.980
'0:00.784',-6.455
'0:00.788',-6.520
'0:00.792',-6.525
'0:00.796',-6.490
'0:00.800',-6.475
'0:00.804',-6.475
'0:00.808',-6.495
'0:00.812',-6.530
'0:00.816',-6.560
'0:00.820',-6.570
'0:00.824',-6.570
'0:00.828',-6.555
'0:00.832',-6.550
'0:00.836',-6.540
'0:00.840',-6.550
'0:00.844',-6.590
'0:00.848',-6.620
'0:00.852',-6.610
'0:00.856',-6.600
'0:00.860',-6.610
'0:00.864',-6.615
'0:00.868',-6.620
'0:00.872',-6.630
'0:00.876',-6.620
'0:00.880',-6.600
'0:00.884',-6.615
'0:00.888',-6.650
'0:00.892',-6.630
'0:00.896',-6.600
'0:00.900',-6.610
'0:00.904',-6.635
'0:00.908',-6.630
'0:00.912',-6.580
'0:00.916',-6.560
'0:00.920',-6.585
'0:00.924',-6.615
'0:00.928',-6.625
'0:00.932',-6.640
'0:00.936',-6.655
'0:00.940',-6.665
'0:00.944',-6.665
'0:00.948',-6.645
'0:00.952',-6.620
'0:00.956',-6.630
'0:00.960',-6.650
'0:00.964',-6.635
'0:00.968',-6.615
'0:00.972',-6.610
'0:00.976',-6.630
'0:00.980',-6.650
'0:00.984',-6.660
'0:00.988',-6.660
'0:00.992',-6.665
'0:00.996',-6.665
'0:01.000',-6.665
'0:01.004',-6.665
'0:01.008',-6.665
'0:01.012',-6.670
'0:01.016',-6.690
'0:01.020',-6.725
'0:01.024',-6.675
'0:01.028',-6.630
'0:01.032',-6.630
'0:01.036',-6.680
'0:01.040',-6.675
'0:01.044',-6.610
'0:01.048',-6.565
'0:01.052',-6.535
'0:01.056',-6.540
'0:01.060',-6.530
'0:01.064',-6.570
'0:01.068',-6.550
'0:01.072',-6.500
'0:01.076',-6.465
'0:01.080',-6.455
'0:01.084',-6.470
'0:01.088',-6.455
'0:01.092',-6.455
'0:01.096',-6.465
'0:01.100',-6.455
'0:01.104',-6.455
'0:01.108',-6.455
'0:01.112',-6.455
'0:01.116',-6.465
'0:01.120',-6.470
'0:01.124',-6.485
'0:01.128',-6.495
'0:01.132',-6.510
'0:01.136',-6.470
'0:01.140',-6.385
'0:01.144',-6.405
'0:01.148',-6.455
'0:01.152',-6.480
'0:01.156',-6.490
'0:01.160',-6.455
'0:01.164',-6.425
'0:01.168',-6.390
'0:01.172',-6.405
'0:01.176',-6.460
'0:01.180',-6.415
'0:01.184',-6.400
'0:01.188',-6.400
'0:01.192',-6.365
'0:01.196',-6.370
'0:01.200',-6.430
'0:01.204',-6.430
'0:01.208',-6.440
'0:01.212',-6.455
'0:01.216',-6.450
'0:01.220',-6.430
'0:01.224',-6.435
'0:01.228',-6.435
'0:01.232',-6.425
'0:01.236',-6.425
'0:01.240',-6.425
'0:01.244',-6.430
'0:01.248',-6.440
'0:01.252',-6.445
'0:01.256',-6.440
'0:01.260',-6.445
'0:01.264',-6.450
'0:01.268',-6.445
'0:01.272',-6.425
'0:01.276',-6.415
'0:01.280',-6.430
'0:01.284',-6.415
'0:01.288',-6.400
'0:01.292',-6.395
'0:01.296',-6.380
'0:01.300',-6.375
'0:01.304',-6.360
'0:01.308',-6.345
'0:01.312',-6.315
'0:01.316',-6.315
'0:01.320',-6.320
'0:01.324',-6.335
'0:01.328',-6.355
'0:01.332',-6.380
'0:01.336',-6.380
'0:01.340',-6.370
'0:01.344',-6.365
'0:01.348',-6.370
'0:01.352',-6.415
'0:01.356',-6.455
'0:01.360',-6.495
'0:01.364',-6.500
'0:01.368',-6.510
'0:01.372',-6.530
'0:01.376',-6.515
'0:01.380',-6.540
'0:01.384',-6.555
'0:01.388',-6.545
'0:01.392',-6.550
'0:01.396',-6.550
'0:01.400',-6.530
'0:01.404',-6.540
'0:01.408',-6.545
'0:01.412',-6.555
'0:01.416',-6.550
'0:01.420',-6.540
'0:01.424',-6.535
'0:01.428',-6.530
'0:01.432',-6.555
'0:01.436',-6.590
'0:01.440',-6.595
'0:01.444',-6.580
