'Elapsed time','D3'
'hh:mm:ss.mmm','mV'
'0:00.000',1.910
'0:00.004',1.885
'0:00.008',1.870
'0:00.012',1.865
'0:00.016',1.850
'0:00.020',1.850
'0:00.024',1.850
'0:00.028',1.845
'0:00.032',1.830
'0:00.036',1.820
'0:00.040',1.820
'0:00.044',1.830
'0:00.048',1.830
'0:00.052',1.810
'0:00.056',1.765
'0:00.060',1.710
'0:00.064',1.710
'0:00.068',1.790
'0:00.072',1.890
'0:00.076',2.030
'0:00.080',2.285
'0:00.084',2.575
'0:00.088',2.835
'0:00.092',3.090
'0:00.096',3.275
'0:00.100',3.210
'0:00.104',2.860
'0:00.108',2.365
'0:00.112',2.010
'0:00.116',1.645
'0:00.120',1.410
'0:00.124',1.290
'0:00.128',1.290
'0:00.132',1.360
'0:00.136',1.420
'0:00.140',1.510
'0:00.144',1.605
'0:00.148',1.650
'0:00.152',1.680
'0:00.156',1.705
'0:00.160',1.710
'0:00.164',1.710
'0:00.168',1.725
'0:00.172',1.750
'0:00.176',1.755
'0:00.180',1.750
'0:00.184',1.755
'0:00.188',1.755
'0:00.192',1.765
'0:00.196',1.770
'0:00.200',1.770
'0:00.204',1.780
'0:00.208',1.785
'0:00.212',1.775
'0:00.216',1.780
'0:00.220',1.775
'0:00.224',1.780
'0:00.228',1.790
'0:00.232',1.790
'0:00.236',1.800
'0:00.240',1.795
'0:00.244',1.805
'0:00.248',1.805
'0:00.252',1.805
'0:00.256',1.810
'0:00.260',1.820
'0:00.264',1.830
'0:00.268',1.830
'0:00.272',1.830
'0:00.276',1.830
'0:00.280',1.835
'0:00.284',1.845
'0:00.288',1.850
'0:00.292',1.850
'0:00.296',1.860
'0:00.300',1.870
'0:00.304',1.870
'0:00.308',1.885
'0:00.312',1.905
'0:00.316',1.915
'0:00.320',1.925
'0:00.324',1.935
'0:00.328',1.955
'0:00.332',1.970
'0:00.336',1.985
'0:00.340',2.010
'0:00.344',2.070
'0:00.348',2.110
'0:00.352',2.160
'0:00.356',2.210
'0:00.360',2.250
'0:00.364',2.285
'0:00.368',2.320
'0:00.372',2.340
'0:00.376',2.370
'0:00.380',2.385
'0:00.384',2.415
'0:00.388',2.450
'0:00.392',2.500
'0:00.396',2.550
'0:00.400',2.575
'0:00.404',2.610
'0:00.408',2.650
'0:00.412',2.700
'0:00.416',2.730
'0:00.420',2.765
'0:00.424',2.795
'0:00.428',2.825
'0:00.432',2.850
'0:00.436',2.875
'0:00.440',2.895
'0:00.444',2.910
'0:00.448',2.910
'0:00.452',2.885
'0:00.456',2.870
'0:00.460',2.850
'0:00.464',2.820
'0:00.468',2.770
'0:00.472',2.730
'0:00.476',2.670
'0:00.480',2.610
'0:00.484',2.555
'0:00.488',2.500
'0:00.492',2.445
'0:00.496',2.390
'0:00.500',2.340
'0:00.504',2.285
'0:00.508',2.225
'0:00.512',2.185
'0:00.516',2.140
'0:00.520',2.095
'0:00.524',2.065
'0:00.528',2.050
'0:00.532',2.030
'0:00.536',2.010
'0:00.540',1.990
'0:00.544',1.970
'0:00.548',1.965
'0:00.552',1.950
'0:00.556',1.930
'0:00.560',1.905
'0:00.564',1.885
'0:00.568',1.860
'0:00.572',1.840
'0:00.576',1.835
'0:00.580',1.815
'0:00.584',1.795
'0:00.588',1.805
'0:00.592',1.810
'0:00.596',1.805
'0:00.600',1.790
'0:00.604',1.790
'0:00.608',1.795
'0:00.612',1.805
'0:00.616',1.805
'0:00.620',1.810
'0:00.624',1.800
'0:00.628',1.805
'0:00.632',1.795
'0:00.636',1.775
'0:00.640',1.780
'0:00.644',1.790
'0:00.648',1.790
'0:00.652',1.790
'0:00.656',1.790
'0:00.660',1.810
'0:00.664',1.810
'0:00.668',1.805
'0:00.672',1.810
'0:00.676',1.800
'0:00.680',1.795
'0:00.684',1.795
'0:00.688',1.795
'0:00.692',1.795
'0:00.696',1.810
'0:00.700',1.805
'0:00.704',1.790
'0:00.708',1.775
'0:00.712',1.775
'0:00.716',1.790
'0:00.720',1.780
'0:00.724',1.790
'0:00.728',1.805
'0:00.732',1.820
'0:00.736',1.820
'0:00.740',1.830
'0:00.744',1.810
'0:00.748',1.795
'0:00.752',1.795
'0:00.756',1.795
'0:00.760',1.810
'0:00.764',1.810
'0:00.768',1.815
'0:00.772',1.805
'0:00.776',1.805
'0:00.780',1.810
