'Elapsed time','ECG1'
'hh:mm:ss.mmm','mV'
'0:00.000',0.140
'0:00.004',0.055
'0:00.008',0.020
'0:00.012',-0.005
'0:00.016',-0.030
'0:00.020',-0.005
'0:00.024',0.015
'0:00.028',-0.025
'0:00.032',-0.060
'0:00.036',-0.065
'0:00.040',-0.070
'0:00.044',-0.065
'0:00.048',-0.065
'0:00.052',-0.090
'0:00.056',-0.110
'0:00.060',-0.120
'0:00.064',-0.115
'0:00.068',-0.075
'0:00.072',-0.065
'0:00.076',-0.100
'0:00.080',-0.120
'0:00.084',-0.105
'0:00.088',-0.095
'0:00.092',-0.080
'0:00.096',-0.080
'0:00.100',-0.110
'0:00.104',-0.110
'0:00.108',-0.090
'0:00.112',-0.065
'0:00.116',-0.040
'0:00.120',-0.065
'0:00.124',-0.125
'0:00.128',-0.095
'0:00.132',-0.025
'0:00.136',-0.025
'0:00.140',-0.045
'0:00.144',-0.070
'0:00.148',-0.095
'0:00.152',-0.095
'0:00.156',-0.085
'0:00.160',-0.070
'0:00.164',-0.055
'0:00.168',-0.070
'0:00.172',-0.090
'0:00.176',-0.040
'0:00.180',0.025
'0:00.184',0.265
'0:00.188',0.520
'0:00.192',0.845
'0:00.196',1.170
'0:00.200',1.495
'0:00.204',1.680
'0:00.208',1.355
'0:00.212',1.025
'0:00.216',0.700
'0:00.220',0.370
'0:00.224',0.040
'0:00.228',-0.285
'0:00.232',-0.615
'0:00.236',-0.940
'0:00.240',-1.270
'0:00.244',-1.430
'0:00.248',-1.385
'0:00.252',-1.280
'0:00.256',-1.110
'0:00.260',-1.005
'0:00.264',-0.955
'0:00.268',-0.910
'0:00.272',-0.865
'0:00.276',-0.760
'0:00.280',-0.615
'0:00.284',-0.535
'0:00.288',-0.485
'0:00.292',-0.400
'0:00.296',-0.305
'0:00.300',-0.240
'0:00.304',-0.180
'0:00.308',-0.140
'0:00.312',-0.100
'0:00.316',-0.070
'0:00.320',-0.045
'0:00.324',-0.075
'0:00.328',-0.115
'0:00.332',-0.070
'0:00.336',-0.010
'0:00.340',-0.060
'0:00.344',-0.110
'0:00.348',-0.080
'0:00.352',-0.050
'0:00.356',-0.050
'0:00.360',-0.050
'0:00.364',-0.045
'0:00.368',-0.040
'0:00.372',-0.025
'0:00.376',0.000
'0:00.380',0.040
'0:00.384',0.070
'0:00.388',0.055
'0:00.392',0.045
'0:00.396',0.065
'0:00.400',0.080
'0:00.404',0.090
'0:00.408',0.105
'0:00.412',0.125
'0:00.416',0.160
'0:00.420',0.215
'0:00.424',0.250
'0:00.428',0.270
'0:00.432',0.305
'0:00.436',0.360
'0:00.440',0.415
'0:00.444',0.475
'0:00.448',0.535
'0:00.452',0.590
'0:00.456',0.645
'0:00.460',0.695
'0:00.464',0.745
'0:00.468',0.790
'0:00.472',0.810
'0:00.476',0.825
'0:00.480',0.830
'0:00.484',0.835
'0:00.488',0.835
'0:00.492',0.825
'0:00.496',0.760
'0:00.500',0.820
'0:00.504',0.610
'0:00.508',0.530
'0:00.512',0.480
'0:00.516',0.425
'0:00.520',0.365
'0:00.524',0.305
'0:00.528',0.240
'0:00.532',0.190
'0:00.536',0.170
'0:00.540',0.145
'0:00.544',0.100
'0:00.548',0.065
'0:00.552',0.045
'0:00.556',0.030
'0:00.560',0.030
'0:00.564',0.025
'0:00.568',-0.005
'0:00.572',-0.025
'0:00.576',-0.040
'0:00.580',-0.045
'0:00.584',-0.020
'0:00.588',-0.010
'0:00.592',-0.015
'0:00.596',-0.030
'0:00.600',-0.050
'0:00.604',-0.050
'0:00.608',-0.030
'0:00.612',-0.010
'0:00.616',0.010
'0:00.620',0.005
'0:00.624',-0.020
'0:00.628',0.000
'0:00.632',0.040
'0:00.636',0.040
'0:00.640',0.025
'0:00.644',0.020
'0:00.648',0.020
'0:00.652',0.030
'0:00.656',0.045
'0:00.660',0.035
'0:00.664',0.015
'0:00.668',0.000
'0:00.672',-0.010
'0:00.676',0.000
'0:00.680',0.010
'0:00.684',0.005
'0:00.688',0.000
'0:00.692',-0.005
'0:00.696',-0.010
'0:00.700',-0.005
'0:00.704',0.000
'0:00.708',-0.015
'0:00.712',-0.030
'0:00.716',-0.015
'0:00.720',0.000
'0:00.724',0.000
'0:00.728',-0.005
'0:00.732',-0.020
'0:00.736',-0.030
'0:00.740',-0.025
'0:00.744',-0.015
'0:00.748',0.005
'0:00.752',0.020
'0:00.756',0.020
'0:00.760',0.030
'0:00.764',0.055
'0:00.768',0.080
'0:00.772',0.100
'0:00.776',0.110
'0:00.780',0.105
'0:00.784',0.070
'0:00.788',0.025
'0:00.792',0.020
'0:00.796',0.035
'0:00.800',0.030
'0:00.804',0.015
'0:00.808',-0.005
'0:00.812',-0.025
'0:00.816',-0.035
'0:00.820',-0.045
'0:00.824',-0.060
'0:00.828',-0.075
'0:00.832',-0.095
'0:00.836',-0.120
'0:00.840',-0.100
'0:00.844',-0.080
'0:00.848',-0.080
'0:00.852',-0.080
'0:00.856',-0.055
'0:00.860',-0.030
'0:00.864',-0.025
'0:00.868',-0.025
'0:00.872',-0.060
'0:00.876',-0.080
'0:00.880',-0.035
'0:00.884',-0.005
'0:00.888',-0.035
'0:00.892',-0.060
'0:00.896',-0.050
'0:00.900',-0.045
'0:00.904',-0.065
'0:00.908',-0.080
'0:00.912',-0.070
'0:00.916',-0.060
'0:00.920',-0.065
'0:00.924',-0.075
'0:00.928',-0.085
'0:00.932',-0.085
'0:00.936',-0.070
'0:00.940',-0.060
'0:00.944',-0.060
'0:00.948',-0.060
'0:00.952',-0.065
'0:00.956',-0.060
'0:00.960',-0.045
'0:00.964',-0.040
'0:00.968',-0.035
'0:00.972',-0.025
'0:00.976',-0.015
'0:00.980',-0.015
'0:00.984',-0.025
'0:00.988',-0.030
'0:00.992',-0.030
'0:00.996',-0.020
'0:01.000',-0.030
'0:01.004',0.225
'0:01.008',0.455
'0:01.012',0.780
'0:01.016',1.105
'0:01.020',1.430
'0:01.024',1.730
'0:01.028',1.900
'0:01.032',1.980
'0:01.036',1.655
'0:01.040',1.325
'0:01.044',1.000
'0:01.048',0.670
'0:01.052',0.345
'0:01.056',0.015
'0:01.060',-0.315
'0:01.064',-0.640
'0:01.068',-0.970
'0:01.072',-1.140
'0:01.076',-1.090
'0:01.080',-1.015
'0:01.084',-0.910
'0:01.088',-0.850
'0:01.092',-0.825
'0:01.096',-0.750
'0:01.100',-0.635
'0:01.104',-0.545
'0:01.108',-0.460
'0:01.112',-0.405
'0:01.116',-0.365
'0:01.120',-0.300
'0:01.124',-0.230
'0:01.128',-0.175
'0:01.132',-0.125
'0:01.136',-0.110
'0:01.140',-0.110
'0:01.144',-0.090
'0:01.148',-0.065
'0:01.152',-0.075
'0:01.156',-0.095
'0:01.160',-0.100
'0:01.164',-0.105
'0:01.168',-0.100
'0:01.172',-0.090
'0:01.176',-0.075
'0:01.180',-0.060
'0:01.184',-0.070
'0:01.188',-0.080
'0:01.192',-0.070
'0:01.196',-0.060
'0:01.200',-0.055
'0:01.204',-0.050
'0:01.208',-0.050
'0:01.212',-0.040
'0:01.216',0.000
'0:01.220',0.030
'0:01.224',0.025
'0:01.228',0.025
'0:01.232',0.040
'0:01.236',0.055
'0:01.240',0.070
'0:01.244',0.090
'0:01.248',0.115
'0:01.252',0.140
'0:01.256',0.160
'0:01.260',0.195
'0:01.264',0.240
'0:01.268',0.290
'0:01.272',0.340
'0:01.276',0.385
'0:01.280',0.435
'0:01.284',0.480
'0:01.288',0.525
'0:01.292',0.585
'0:01.296',0.655
'0:01.300',0.700
'0:01.304',0.740
'0:01.308',0.780
'0:01.312',0.820
'0:01.316',0.850
'0:01.320',0.875
'0:01.324',0.865
'0:01.328',0.845
'0:01.332',0.810
'0:01.336',0.770
'0:01.340',0.720
'0:01.344',0.670
'0:01.348',0.600
'0:01.352',0.535
'0:01.356',0.490
'0:01.360',0.445
'0:01.364',0.385
'0:01.368',0.335
'0:01.372',0.285
'0:01.376',0.250
'0:01.380',0.265
'0:01.384',0.265
'0:01.388',0.215
'0:01.392',0.175
'0:01.396',0.150
'0:01.400',0.130
'0:01.404',0.135
'0:01.408',0.135
'0:01.412',0.115
'0:01.416',0.095
'0:01.420',0.070
'0:01.424',0.095
'0:01.428',0.160
'0:01.432',0.190
'0:01.436',0.195
'0:01.440',0.200
'0:01.444',0.195
'0:01.448',0.210
'0:01.452',0.240
'0:01.456',0.225
'0:01.460',0.180
'0:01.464',0.115
'0:01.468',0.035
'0:01.472',0.000
'0:01.476',-0.025
'0:01.480',0.115
'0:01.484',0.290
'0:01.488',0.600
'0:01.492',0.925
'0:01.496',1.250
'0:01.500',0.945
'0:01.504',1.255
'0:01.508',0.925
'0:01.512',0.600
'0:01.516',0.270
'0:01.520',-0.055
'0:01.524',-0.385
'0:01.528',-0.710
'0:01.532',-1.040
'0:01.536',-1.365
'0:01.540',-1.620
'0:01.544',-1.635
'0:01.548',-1.560
'0:01.552',-1.235
'0:01.556',-0.955
'0:01.560',-0.755
'0:01.564',-0.570
'0:01.568',-0.400
'0:01.572',-0.255
'0:01.576',-0.140
'0:01.580',-0.080
