'Elapsed time','D3'
'hh:mm:ss.mmm','mV'
'0:00.000',4.220
'0:00.004',4.210
'0:00.008',4.190
'0:00.012',4.160
'0:00.016',4.125
'0:00.020',4.090
'0:00.024',4.075
'0:00.028',4.035
'0:00.032',4.005
'0:00.036',3.985
'0:00.040',3.965
'0:00.044',3.965
'0:00.048',3.955
'0:00.052',3.980
'0:00.056',3.965
'0:00.060',3.950
'0:00.064',3.935
'0:00.068',3.920
'0:00.072',3.920
'0:00.076',3.930
'0:00.080',3.920
'0:00.084',3.935
'0:00.088',3.920
'0:00.092',3.920
'0:00.096',3.930
'0:00.100',3.930
'0:00.104',3.920
'0:00.108',3.935
'0:00.112',3.895
'0:00.116',3.845
'0:00.120',3.850
'0:00.124',4.000
'0:00.128',4.265
'0:00.132',4.585
'0:00.136',4.810
'0:00.140',4.865
'0:00.144',4.775
'0:00.148',4.670
'0:00.152',4.555
'0:00.156',4.445
'0:00.160',4.300
'0:00.164',4.175
'0:00.168',4.085
'0:00.172',4.020
'0:00.176',3.990
'0:00.180',3.955
'0:00.184',3.965
'0:00.188',3.965
'0:00.192',3.950
'0:00.196',3.935
'0:00.200',3.920
'0:00.204',3.930
'0:00.208',3.945
'0:00.212',3.935
'0:00.216',3.915
'0:00.220',3.930
'0:00.224',3.930
'0:00.228',3.915
'0:00.232',3.915
'0:00.236',3.915
'0:00.240',3.955
'0:00.244',3.965
'0:00.248',3.965
'0:00.252',3.965
'0:00.256',3.945
'0:00.260',3.935
'0:00.264',3.920
'0:00.268',3.920
'0:00.272',3.920
'0:00.276',3.930
'0:00.280',3.950
'0:00.284',3.965
'0:00.288',3.950
'0:00.292',3.935
'0:00.296',3.930
'0:00.300',3.920
'0:00.304',3.930
'0:00.308',3.945
'0:00.312',3.950
'0:00.316',3.955
'0:00.320',3.935
'0:00.324',3.930
'0:00.328',3.920
'0:00.332',3.930
'0:00.336',3.915
'0:00.340',3.910
'0:00.344',3.920
'0:00.348',3.920
'0:00.352',3.930
'0:00.356',3.915
'0:00.360',3.900
'0:00.364',3.910
'0:00.368',3.910
'0:00.372',3.930
'0:00.376',3.920
'0:00.380',3.920
'0:00.384',3.885
'0:00.388',3.910
'0:00.392',3.910
'0:00.396',3.930
'0:00.400',3.950
'0:00.404',3.950
'0:00.408',3.980
'0:00.412',3.985
'0:00.416',3.980
'0:00.420',3.970
'0:00.424',3.980
'0:00.428',4.020
'0:00.432',4.050
'0:00.436',4.055
'0:00.440',4.065
'0:00.444',4.065
'0:00.448',4.050
'0:00.452',4.050
'0:00.456',4.035
'0:00.460',4.065
'0:00.464',4.075
'0:00.468',4.070
'0:00.472',4.065
'0:00.476',4.055
'0:00.480',4.050
'0:00.484',4.050
'0:00.488',4.065
'0:00.492',4.065
'0:00.496',4.055
'0:00.500',4.055
'0:00.504',4.065
